stem,word
a,a
abandon,abandoned
abandon,abandonment
abd,abdi
abdelwahab,abdelwahab
abduc,abduction
abh,abh
abl,ability
abolit,abolitionists
about,about
abraham,abraham
abridg,abridged
abs,absence
abs,absentee
abud,abusive
abus,abuse
abus,abused
academ,academics
acceiv,acceptance
accid,accident
accid,accidents
account,accounting
account,accounts
accus,accusation
achiev,achieving
achil,achilles
act,acting
act,action
act,activism
act,activists
act,activities
act,activity
act,actors
act,acts
act,actualization
actress,actresses
adam,adam
adam,adams
adapt,adaptation
adapt,adaptations
addict,addiction
addict,addicts
addit,additives
address,addresses
adelin,adeline
adjust,adjustment
admin,administration
admit,admission
adolesc,adolescence
adolesc,adolescent
adopt,adopted
adopt,adoptees
adopt,adoption
adult,adult
adult,adulteration
adult,adulthood
adult,adults
adultery,adultery
adv,advancement
adv,adventure
adv,adventurers
adv,adventures
adv,advice
advert,advertising
aer,aerial
aeronaut,aeronautics
aerospac,aerospace
aesthet,aesthetics
affair,affair
affair,affaires
afgh,afghan
afgh,afghanistan
afr,african
afric,africa
aft,after
ag,age
ag,aged
ag,agencies
ag,agency
ag,agent
ag,agents
ag,ages
ag,aging
against,against
agath,agatha
agil,agile
agincourt,agincourt
agoraphob,agoraphobia
agricult,agricultural
agricult,agriculture
ahab,ahab
ahmad,ahmad
ai,ai
aid,aids
ail,ailing
air,air
aircraft,aircraft
airm,airmen
airpl,airplane
ais,aise
akh,akha
al,al
al,alan
al,ali
al,alice
al,all
al,allan
al,alliances
alabam,alabama
alann,alanna
alask,alaska
alchem,alchemists
alchemy,alchemy
alcohol,alcohol
alcohol,alcoholic
alcohol,alcoholics
alcohol,alcoholism
alex,alex
alexand,alexander
alexandr,alexandra
alexandr,alexandria
alexandr,alexandrian
alfr,alfred
algorithm,algorithms
alibab,alibaba
alighier,alighieri
alleg,allegories
allergy,allergy
allgood,allgood
allon,allon
aloysi,aloysius
alphabet,alphabet
also,also
altern,alternate
altern,alternative
altru,altruism
aly,alien
aly,aliens
alzheim,alzheimer
am,amateurs
am,american
am,americans
am,amis
am,amish
amazon,amazon
ambassad,ambassadors
ambit,ambition
americ,america
america,americas
amerikanisch,amerikanisches
amin,amin
amnes,amnesia
amnesiac,amnesiacs
amo,amour
